Patent_ID,Patent_abstract,cleaned_and_stemmed_nouns_verbs_abstract
CN200610090233.0,"The provided enciphering/deciphering and signature method comprise: setting system parameter, enciphering plaintext, and deciphering; wherein, it can also sign the information, and validates the signature. The system comprises opposite different modules.",enciph deciph signatur method compris set system paramet enciph plaintext deciph sign inform valid signatur system compris modul
CN1467245A,"An antistaling plastic film for fruit and vegetable is prepared from the air-permeable inorganic moisture penetrating agent, antibacterial agent, ethylene absorbing and decomposing agent, and resin. Its advantage is high antistaling effect.",antist plastic film fruit veget is prepar air moistur penetr agent ethylen absorb decompos agent resin advantag is antist effect
CN1535959A,"The present invention relates to a chemical synthesis method of 3-phenyl-5-methyl-4-isoxazole formyl chloride. It is made up by using bis (trichloromethyl) carbonate and 3-phenyl-5-methyl-4-isoxazole formic acid as raw material and making them undergo the acyl-chlorination reaction in organic solvent. The product is a key intermediate body of oxazocilline, and said synthesis method is reasonable in technological process, high in reaction yield and low in production cost.",invent relat chemic synthesi method phenyl methyl formyl chlorid is made use trichloromethyl carbon phenyl methyl acid materi make undergo chlorin reaction solvent product is bodi oxazocillin said synthesi method is process reaction yield product cost
CN200710094347.7,"The invention discloses a one-time programmable non-volatile memory chip unit. The memory chip unit comprises a capacitive coupling semiconductor field effect transistor and a capacitor, wherein the capacitance is a groove type capacitance during the particular preparation. Under conditions of keeping the capacitance value unchanged, the memory chip unit greatly reduces areas occupied by an OTP unit. The invention also discloses a method for preparing the groove type capacitor.",invent disclos time memori chip unit memori chip unit compris coupl semiconductor field effect transistor capacitor capacit is type capacit prepar condit keep capacit valu memori chip unit reduc area occupi otp unit invent disclos method prepar groov type capacitor
CN100560502C,"Laminated double-metal hydroxide film that a kind of even compact is transparent and preparation method thereof belongs to the layered double hydroxide technical field.The chemical general formula of rete LDHs is: [M        2+ 1-xM        3+ x(OH)        2]        X+(A        N-)        X/nMH        2O; Wherein, M        2+Represent Mg        2+, Ni        2+, Zn        2+In any, M        3+Represent Al        3+, Fe        3+In any, A        N-Be NO        3 -, Cl        -, SO        4 2-Any, 0.2â¤xâ¤0.4,0â¤mâ¤2.The preparation method need not substrate support, adopts the liquid-gas interface method, prepares the transparent LDHs film of even compact under the surface tension of solution and the acting in conjunction of pH gradient at the air-water interface place.Advantage is: the liquid-gas interface film forming, and film process need not substrate support, has overcome the influence of substrate to the LDHs film preparation; Room temperature reaction, energy consumption is low; And equipment requirements is simple, easy handling.",lamin metal hydroxid film kind compact is prepar method thereof belong layer field chemic formula ldh is m xm x oh x a n x o wherein m repres mg ni zn m repres al fe a n be no cl so ani prepar method substrat support liquid ga interfac method prepar transpar ldh film surfac tension solut act conjunct gradient air water interfac place advantag is liquid ga interfac film form film process substrat support ha overcom influenc substrat ldh film prepar room temperatur reaction energi consumpt is equip requir is handl
JP2002343479,"PROBLEM TO BE SOLVED: To provide electrical connection structure having a connector with a spring, which is improved so as to increase the self-cleaning effect, using very compact structure. SOLUTION: A contact pin and a compressed coil spring member are installed, the contact pin pushed up over the whole stroke by the energizing force of the compressed coil spring member is inclined in the reverse inclination direction of a lower end part from the shaft line of a cylinder with the bottom, the apex of the tip part is deflected from the shaft line to the maximum deflecting amount, the contact pin, pushed down over the whole stroke against the energizing force of the compressed coil spring member inside an upper hollow part and a lower hollow part, is inclined in the direction of inclination, toward the shaft line from the maximum deflection amount and is returned to the minimum deflection amount, and the self-cleaning effect on the contact surface of a plate terminal is increased by the differential deflection amount of the apex.",problem to be solv provid connect structur have connector spring is improv increas self clean effect use structur solut a contact pin coil spring member are instal contact pin push stroke energ forc coil spring member is inclin revers inclin direct end part shaft line cylind bottom apex part is deflect shaft line deflect amount contact pin push stroke energ forc coil spring member hollow part part is inclin direct inclin shaft line deflect amount is return deflect amount self clean effect contact surfac termin is increas deflect amount apex
CN1092230A,"The system of the Local Area Network that a kind of interconnection separates greatly, utilize the network layer facility to set up by the connection of wide area network by means of wide area network (WAN) and is connected table entry with producing at WAN net access point, these inlets allow the operation that subsequently Frames need not this network level by the wide area network transmission.Specifically, various LAN nets are combined as the search groups with the representative of address prefix, and the connection request that the LAN net starts can be broadcasted and can respond, and connect so that set up data path.This system has the connection flexibility of prior art router, has the low expense of prior art bridge simultaneously.",system local area network kind interconnect separ util network layer facil set connect area network mean area network wan is connect entri produc wan access point inlet allow oper frame network level area network transmiss lan net are combin search group repres address prefix connect request lan start be broadcast respond connect set data path system ha connect flexibl art router ha expens art bridg
CN101085863A,"The invention relates to a conductive complex material, comprising functional carbon nanopipe and polyamide. The weight of said carbon nanopipe is 0.1- 10% of that of polyamide, and said carbon nanopipe is carboxylate carbon nanopipe. The carboxyl in carboxylate carbon nanopipe is reacted with polyamide or amidol in polyamide monomer to generate amido bond. The invention is characterized in that the antistatic property of polyamide is improved, and the conductivity is avaliable, and the application range is enlarged, such as used as nylon rope, nylon bale, pad and nylon braid.",invent relat materi compris carbon nanopip polyamid weight said carbon nanopip is polyamid said carbon nanopip is carbon carboxyl carboxyl carbon nanopip is react polyamid amidol monom gener bond invent is character properti polyamid is improv conduct is applic rang is enlarg use rope nylon bale pad nylon braid
US5351759A,"A wellbore is drilled utilizing a conventional drilling fluid or a drilling fluid such as one containing a cementitious component selected from blast furnace slag, a metal oxide component of an ionomer or a metal oxide component of a phosphate salt. A compatible cementitious slurry such as one containing blast furnace slag and an activator system is then introduced into the borehole and displaced up into an annulus by direct contact with a displacement fluid. Generally, in the case of the slag-containing drilling fluid the cementitious slurry is prepared by adding additional blast furnace slag and an activator such as a sodium hydroxide/sodium carbonate mixture to the used drilling fluid. Similarly, in the case of the ionomers or phosphates, additional metal oxide component and the reactive second component can be added to the used drilling fluid to produce the cementitious slurry.",wellbor is drill util drill fluid drill fluid contain compon select blast furnac slag metal compon ionom compon phosphat salt a slurri contain blast furnac slag activ system is introduc borehol displac annulu contact displac fluid gener case slag contain drill fluid slurri is prepar ad blast furnac slag activ sodium hydroxid sodium carbon mixtur use drill fluid case ionom phosphat metal compon compon be ad use drill fluid produc slurri
US5794159A,"A multi-mode radiotelephone (10) includes at least one antenna (12) for transmitting and receiving RF signals within at least two frequency bands. The radiotelephone also includes a first receiver (30, 34) having an input coupled to the antenna for amplifying and down-converting RF signals within a first frequency band and a second receiver (30a, 34a) having an input coupled to the antenna for amplifying and down-converting RF signals within a second frequency band. The radiotelephone further includes a first transmitter (44, 46, 48) having an output coupled to the antenna for up-converting and amplifying RF signals within the first frequency band and a second transmitter (44a, 46a, 48a) having an output coupled to the antenna for up-converting and amplifying RF signals within the second frequency band. In accordance with this invention the first receiver and the second transmitter are disposed within a first circuit package (29a), and the second receiver and the first transmitter are disposed within a second circuit package (29b). The first and second circuit packages may be integrated circuits or hybrid (e.g., thick or thin film) circuits.",multi mode radiotelephon includ antenna transmit receiv rf signal frequenc band radiotelephon includ receiv have input coupl antenna amplifi convert rf signal frequenc band receiv have input coupl antenna amplifi convert rf signal frequenc band radiotelephon includ transmitt have output coupl antenna convert amplifi rf signal frequenc band transmitt have output coupl antenna convert amplifi rf signal frequenc band accord invent receiv transmitt are dispos circuit packag receiv transmitt are dispos circuit packag b circuit packag be integr circuit e g thick film circuit
US6650168B,"A new level-shifting circuit is achieved comprising: a first cascaded switch comprising a first NMOS transistor and a first zero threshold NMOS transistor, the second cascaded switch comprises a second NMOS transistor and a second zero threshold NMOS transistor, and the cross-coupled pull-up comprises a first PMOS transistor and a second PMOS transistor. The sources of both of these PMOS transistors are coupled to a high voltage supply. The gate of the second PMOS transistor and the drain of the first PMOS transistor are coupled to the drain of the first zero threshold NMOS transistor to form an inverted output. The gate of the first PMOS transistor and the drain of the second PMOS transistor are coupled to the drain of the second zero threshold NMOS transistor to form a non-inverted output.",level shift circuit is achiev compris cascad switch compris nmo transistor zero threshold nmo transistor cascad switch compris nmo transistor zero threshold nmo transistor cross coupl pull compris pmo transistor pmo transistor sourc pmo transistor are coupl voltag suppli gate pmo transistor drain pmo transistor are coupl drain zero threshold nmo transistor form output gate pmo transistor drain pmo transistor are coupl drain zero threshold nmo transistor form non invert output
CN1341765A,"The production process of aluminium foil for high-voltage anode of electrolytic condenser includes the following steps: 1. casting; 2. preheating ingot, uniformization and high-temp. hot-rolling; 3. cold-rolling and foil-rolling; and 4. vacuum heat treatment so as to make aluminium foil surface produce thin oxide film and change the processing texture into cubic texture. The aluminium foil for high-voltage anode of electrolytic condenser possesses the following advantages: the occupancy of {100} surface cubic texture can be up to above 95%, and its converted capacitance can be up to 1.0-1.05 microfarad/sq.cm (375Vf).",product process aluminium foil voltag anod condens includ step cast preheat uniform temp roll roll foil roll vacuum heat treatment make aluminium foil surfac produc oxid film chang process textur textur aluminium foil voltag anod condens possess advantag occup surfac textur be abov capacit be microfarad cm vf
US5976644A,"A process to treat bamboo comprises splitting a bamboo shoot lengthwise into at least two separate bamboo lengths, and removing any internal membranes and external nodes from the bamboo lengths. The split bamboo lengths are treated to remove substantially all sugars present in said lengths, following which they are dried to a moisture content of less than about 3%. The bamboo lengths are then rehumidified to a predetermined moisture content of greater than about 3%. Then, optionally, a first plurality of the bamboo lengths suitable to form a core for a laminated bamboo article may be uniformly sized, and a second plurality of the bamboo lengths suitable to form an outer surface for a laminated bamboo article may be uniformly sized. A core may then be formed with a uniform first plurality of the lengths by laminating the first plurality of lengths together, and at least one outer surface layer may be formed with a uniform second plurality of the lengths by laminating the second plurality of lengths together. Finally, the outer surface layer may be laminated to the core so that the grain direction of the first plurality of lengths is substantially parallel to the grain direction of the second plurality of lengths.",process treat compris split bamboo shoot lengthwis bamboo length remov membran node bamboo length split length are treat remov sugar present said length follow are dri moistur content bamboo length are rehumidifi moistur content plural length form core bamboo articl be size plural length form outer surfac bamboo articl be size a core be form plural length lamin plural length outer surfac layer be form plural length lamin plural length outer surfac layer be lamin core direct plural length is grain direct plural length
CN200610032731.X,"The present invention provides universal authentication frame based safety service communication method, suitable for mobile communication field, wherein said universal authentication frame including service subscription entity, service provides entity and entity authenticate centre; entity authenticate according to service subscription entitative intermediate service request identification information service provided entitative intermediate service inquest identification information to generate derivation encryption key, used for service communication between ciphering service subscription entity and service provided entity. Said method includes before service communication, service subscription entity and service provided entity utilizing said derivation encryption key to make mutual authenticating, negotiation encryption key, and utilizing said encryption key ciphering service communication between two sides. The present invention avoids service communication ending resulted from derivation encryption key discordance between SS and SP.",invent provid authent frame base safeti servic commun method commun field wherein said authent frame includ servic subscript entiti servic provid entiti entiti authent centr entiti authent accord servic subscript servic identif inform servic provid servic identif inform gener deriv encrypt key use servic commun cipher servic subscript entiti servic provid entiti said method includ servic commun servic subscript entiti servic provid entiti util said deriv encrypt key make authent negoti encrypt key util said encrypt key cipher servic commun side invent avoid servic commun end result deriv encrypt discord ss sp
CN200510116758.2,"A composition for strengthening glass is a fused salt containing potassium nitrate (90-99 Wt%), potassium hydroxide (0.01-0.5) and Al2O3 (0.01-10). Its strengthening method is also disclosed.",composit strengthen glass is salt contain potassium nitrat wt potassium hydroxid alo strengthen method is disclos
CN1306727A,"Voice and/or image data packets are transferred by a packet handler between user stations in a GSM-type mobile communications system using a General Packet Radio Service (GPRS) data link. Control data for controlling a call is stored in a data store accessible by the packet handler. The control data identifies call participants and the identity of a participant who has currently seized the call. A mobile station capable of video conferencing is operable in a half-duplex video conferencing mode, in which intermittent transmission of video data is controlled by depression of a transmit button.",voic imag data packet are transfer packet handler station gsm type mobil commun system use gener packet radio servic gpr data link control data control call is store data store packet handler control data identifi call particip ident particip ha seiz call a mobil station video conferenc is half video conferenc mode transmiss video data is control depress transmit button
US6014706A,A method for displaying streamed digital video data on a client computer. The client computer is configured to receive the streamed digital video data from a server computer via a computer network. The streamed digital video data is transmitted from the server computer to the client computer as a stream of video frames. The method includes receiving a first plurality of video frames at the client computer. The plurality of video frames represents a subset of the stream of video frames. The stream of video frames comprises independent playable video frames and dependent playable video frames. The method further includes displaying the first plurality of video frames on a video display terminal associated with the client computer. There is further included issuing a rewind command from the client computer to the server. The rewind command causes a second plurality of video frames of the stream of video frames different from the first plurality of video frames to be streamed from the server computer to the client computer. The second plurality of video frames has been streamed at least once to the client computer.,method display video data client comput client comput is configur receiv video data server comput comput network video data is transmit server comput client comput stream video frame method includ receiv plural video frame client comput plural video frame repres subset stream video frame stream video frame compris video frame video frame method includ display plural video frame video display termin associ client comput is issu rewind command client comput server rewind command caus plural frame stream frame plural video frame be stream server comput client comput plural video frame ha been stream client comput
CN200710092828.4,"The invention requests protection for a constant current complex control drive system for automobile background light and the drive control method, and relates to electric technical field. The invention employs a plurality of regulable constant current source LED drive modules to drive background light source LED of parts of an automobile so as to make each LED light source of the automobile background light have the same working current, and regulates output current of the regulable constant current source LED drive modules employed by one or more parts of the automobile to make the output current of the modules changes synchronously, thereby maintaining synchronous change of color and brightness when the automobile background light is performed brightness regulation and realizing the propose for effectively controlling automobile background light source quality. The invention can be used as a control system for color and brightness of background light of parts in automobile meter panel.",invent request protect control drive system automobil background light drive control method relat electr field invent employ plural sourc led drive modul drive background sourc led part automobil make led light sourc automobil background light have regul output sourc led drive modul employ part automobil make output modul chang maintain chang color bright automobil background light is perform regul realiz propos control automobil background light sourc qualiti invent be use control system color bright background light part automobil meter panel
CN200610132490.6,"The present invention discloses a furniture braided band, including band body. The described band body is made up by mixing polyethylene with colorant and foaming agent. The described band body interior has lots of air holes, so that the weight of said band body can be greatly reduced on the basis of having a certain strength and toughness.",invent disclos furnitur braid band includ band bodi band bodi is made mix polyethylen color foam agent band bodi interior ha lot air hole weight said band bodi be reduc basi have strength tough
US7003161B2,"Systems and methods that accurately detect and locate an edge or boundary position based on a number of different characteristics of the image, such as texture, intensity, color, etc. A user can invoke a boundary detection tool to perform, for example, a texture-based edge-finding operation, possibly along with a conventional intensity gradient edge-locating operation. The boundary detection tool defines a primary region of interest that will include an edge or boundary to be located within a captured image of an object. The boundary detection tool is useable to locate edges in a current object, and to quickly and robustly locate corresponding edges of similar objects in the future.",system method detect locat edg posit base number characterist imag textur intens color user invok detect tool perform exampl textur base edg find oper intens gradient edg locat oper detect tool defin region interest includ edg boundari be locat imag object detect tool is locat edg object locat correspond edg object futur
KR20030008736A,"PURPOSE: A system of servicing position information of a receiving subscriber using a voice and a system thereof are provided to transmit the position information with a voice instead of a ringback tone until the receiving subscriber responds to an originating call, thereby obtaining the position information with the voice. CONSTITUTION: When an originating subscriber(150) attempts a call connection(S10), an originating exchange requests an intelligent network(110) the call connection(S20). The intelligent network(110) decides whether to service the call connection. If a service is registered, the intelligent network(110) obtains routing information(S30,S40). The intelligent network(110) inquires of a receiving exchange about position information(S50). The receiving exchange obtains recent terminal position information to respond to the intelligent network(110)(S60). The intelligent network(110) performs the call connection with a service system(120)(S70,S80). The service system(120) changes a local name to perform voice conversion. The intelligent network(110) performs the call connection with the originating exchange(S90), and delivers the position information with a voice to the originating subscriber(150), then the service system(120) attempts the call connection with the receiving exchange(S100). The receiving exchange gives an alerting signal to a receiving terminal(S110). When the subscriber responds to the signal(S120), the receiving exchange answers to the call connection attempt(S130).",purpos system servic posit inform receiv subscrib use voic system thereof are provid transmit posit inform voic ringback tone receiv subscrib respond origin call obtain posit inform voic constitut origin subscrib attempt call connect s exchang request intellig network call connect s intellig network decid servic call connect servic is regist network obtain rout inform s s intellig network inquir exchang posit inform s receiv exchang obtain posit inform respond intellig network s intellig network perform call connect servic system s s servic system chang name perform voic convers intellig network perform call connect origin exchang s deliv posit inform voic origin subscrib servic system attempt call connect receiv exchang s receiv exchang give alert signal receiv s subscrib respond signal s receiv exchang answer call connect attempt s
CN200410096677.6,"The method includes following step: the encoding data is organized into code flow according to frame; each frame is composed of Y,ííU, V three component data ; each component sets different bit plane according to quantized precision; the bit plane message of each component data is organized into component message; three component messages is organized into frame message and forms code flow; for reception end, the frame message can be separated from code flow, the component message can be separated from frame message, each bit plan message can be separated from component message that is decoded, finally the image message can be restored. The invention can cut off code flow at any where and any time.",method includ follow step encod data is organ code flow accord frame frame is compos y v compon data compon set bit plane accord quantiz precis bit messag compon data is organ messag compon messag is organ messag form code flow recept end messag be separ code flow messag be separ messag bit messag be separ messag is decod imag messag be restor invent cut code flow time
CN2682451Y,"The utility model discloses a seamless spliced large screen display device, comprising main control machines and projection components. The projection components are connected on the main control machines. The seamless spliced large screen display device is characterized in that the main control machine has at least one, and each main control machine controls at least one projection component. Certain distance is arranged between the projection components, and a seamless image is spliced and synthesized by the projection components on the projection screen. Because the main control machines of the utility model decay the overlap region of each subpicture, the slits in the color space and the physical space are cancelled. A seamless and perfect image which can be static or dynamical is formed on the large-screen. The seamless spliced large screen display device can cancel the slit in the color space and also cancel the slit in the physical space.",util model disclos seamless splice display devic compris control machin project compon project compon are connect control machin seamless splice display devic is character control machin ha control machin control project compon certain distanc is arrang project compon imag is splice synthes project compon project screen control machin util model decay region subpictur slit color space space are cancel a seamless imag be is form screen seamless splice display devic cancel slit color space cancel slit space
DE19625850B4,"AbstractTranslated from German planetary gearwith a transmission housing(1); one at a first axial end of the transmission housing (1)rotatably mounted input shaft (10); a first planetary gear unitwith a first gear ratio, ata first sun gear (11; 111) axially on the input shaft (10)rotatably disposed therewith, a first planetary gear set (21;121) is arranged around the first sun gear (11, 111) and with thiscombs anda first rotatable ring gear (31; 131) circumferentially with thefirst planetary gear set (21; 121) meshes; a second planetary gear unitwith a second gear ratio, ata second sun gear (12) axially on the input shaft (10)together with the first sun gear (11; 111) rotatably with thisa second planetary gear set (22; 122) is arranged around the second oneSun gear (12) is arranged and meshes with this and a second rotatableRing gear (32; 132) circumferentially with the second planetary gear set(22; 122) combs;a common rotatable support(4), the first and the second planetary gear set (21, 121 bzw.",abstracttransl gearwith transmiss hous end transmiss hous mount input shaft gear gear ratio ata gear input shaft dispos therewith gear set is arrang sun gear thiscomb anda ring gear set mesh gear gear ratio second sun gear input shaft sun gear gear set is arrang onesun gear is arrang mesh rotatabl gear gear set comb support gear set bzw
CN200610140424.3,"The present invention discloses a copy method for ringback music, comprising: the application server (AS) sends a request for playing ringback music and receiving phone numbers to the media resource server (MRS); the MRS plays ringback music to a client terminal based on the received request, and obtains the ringback music copying request input by the client terminal while not interrupting the playing of ring back music; the MRS transmits the obtained ringback music copying request to the AS; the AS sends the command of ringback music copying request with ringback music copying information to a ringback music station based on the receiving ringback music copying request, the command indicates the ringback music station to copy the requested ringback music to information database of client terminal. Furthermore, the present invention discloses a system and equipment for copying ringback music. The method, system and equipment realize that the user chooses and copies the favorable ringback music on-line, when client terminal is listening to the ringback music of other client terminal and improves the user's experience.",invent disclos copi method ringback music compris applic server as send request play ringback music receiv phone number media resourc server mr mr play ringback music client termin base receiv request obtain ringback music copi request input client termin interrupt play ring music mr transmit ringback music copi request as as send command ringback music copi request ringback music copi inform ringback music station base receiv ringback music copi request command indic ringback music station copi ringback music inform databas client termin invent disclos system equip copi ringback music method system equip realiz user choos copi ringback music line client termin is listen ringback music client termin improv s experi
JPH04341A,"PURPOSE: To obtain a Cu-base sintered alloy as a bearing material excellent in wear resistance at a high temp. and seizing resistance by subjecting the powder of a Cu-Zn alloy contg. specified W-Si series intermetallic compounds to compacting and sintering. CONSTITUTION: By volume, 1 to 15% of at least one or more kinds among the fine grains of W-Si series intermetallic compounds such as W-Fe-Si, W-Ni-Si and W-Co-Si having 1 to 50Î¼m average grain size is added to the molten metal of a Cu-Zn alloy contg. 10 to 40wt.% Zn, and this mixture is thereafter pulverized by a water atomizing method. This Cu-Zn alloy powder uniformly contg. the W-Si series intermetallic compounds is compacted and is thereafter sintered. The Cu-base sintered alloy in which fine pores performing the role of a lubricating oil sump are present in the ratio of 1 to 15vol.% and excellent in wear resistance at a high temp. and seizing resistance when used as a bearing material can be obtd.COPYRIGHT: (C)1992,JPO&Japio",purpos obtain cu base sinter bear materi excel resist temp seiz resist subject powder cu zn alloy contg specifi w si seri intermetal compound compact sinter constitut volum kind grain w si seri compound w fe si w ni si w co si have grain size is ad metal cu zn alloy contg wt zn mixtur is pulver water atom method cu zn alloy powder contg w si seri intermetal compound is compact is sinter cu base sinter alloy pore perform role oil sump are ratio vol excel resist temp seiz resist use bear materi be copyright c jpo japio
CN1274441A,"Methods and systems for optimally controlling the operation of object oriented computer software applications use what we call ''application wrappers''. An application wrapper is a software application that gives programmers the ability to extend their programs functionality beyond the rigid constraints placed on them by the computer system's operating system. An application wrapper is associated with each software application stored on the computer system and is loaded when the system is powered up. An object oriented display of the application wrapper is generated for the computer user, which can take almost any identifiable form. Application wrappers provide a computer user more rapid modular access to the functional and data files contained within said software applications, saving computer system resources such as RAM and processing time.",method system control oper object orient comput softwar applic use call applic wrapper applic wrapper is softwar applic give programm abil extend program function constraint place comput system s oper system applic wrapper is associ softwar applic store comput system is load system is power object orient display applic wrapper is gener comput user take form applic wrapper provid comput access data file contain said softwar applic save comput system resourc ram process time
CN1472970A,"The present invention discloses a method for upgrading in-application fix-ware in a wireless-communication module, the method comprising the following steps: 1) a controlling program for upgrading fix-ware is provided in the controlling module of the communication apparatus which has the wireless-communication module; and the software upgrading tool and the upgrading program of the wireless-communication module is installed in the computer; 2) the computer activates the wireless-communication module in power-off state by running an application program and through said controlling module; 3) the computer makes the wireless-communicaltion module in the communication apparatus enter the fix-ware upgrading state by running continuously said application program and through said controlling module.",invent disclos method upgrad applic fix ware commun modul method compris step control program upgrad fix ware is provid control modul commun apparatu ha commun modul softwar upgrad tool program commun modul is instal comput comput activ commun modul power state run applic program said control modul comput make communicalt modul commun apparatu enter fix ware upgrad state run said applic program said modul
JP2003087408A,"PROBLEM TO BE SOLVED: To provide a short message distribution system that can surely deliver a short message to mobile terminal equipment of a destination. SOLUTION: The short message distribution system comprise mobile terminal equipment 40a, 40b that are provided with a function of making a wireless speech or communication from a mobile destination and can generate and receive a short message, radio base stations 20a, 20b that connect with them, a control station 30 for managing the radio base stations, and a short message center 10 connected to the control station 30. The short message center 10 transmits a short message from the mobile terminal equipment 40a or 40b to a designated transmission destination and executes retried transmission depending on presence of a temporary error and on whether or not a time is close to a valid period for storing the short message when the transmission is failed. Thus, the shot message can surely be sent to the destination.",problem to be solv provid messag distribut system deliv messag equip destin solut messag distribut system compris equip b are provid function make speech commun destin gener receiv messag radio base station b connect control station manag radio base station messag center connect control station messag center transmit messag equip b design transmiss destin execut retri transmiss depend presenc error time is period store messag transmiss is fail messag be sent destin
CN1690146A,"The present invention is directed to a composition curable by radiation having a wavelength of 300 nm or more, a method of producing a coated substrate using such composition and the coated product so-produced. More particularly, the composition of the present invention comprises A) from about 1 to about 99% by weight of a specific aqueous polyurethane dispersion having a solids content of from about 20 to about 50% by weight, B) from about 1 to about 99% by weight of an aqueous polyester acrylate/urethane dispersion having a solids content of from about 20 to about 60% by weight, C) one or more photoinitiators, and D) water or a mixture of water and solvent.",invent is direct composit curabl radiat have wavelength nm method produc substrat use composit product produc composit invent compris weight polyurethan dispers have content weight b weight polyest acryl urethan dispers have content weight c photoiniti d water mixtur water solvent
CN200710302145.7,"The embodiment of the invention discloses a key agreement method, which comprises sending a client calling message to a server, receiving information returned by the server, including key agreement mode of a code mechanism based on user's identity, receiving a server key exchange message sent by the server, obtaining a master key, and sending a client key exchange message to the server. The embodiment of the invention further discloses an another key agreement method, which comprises receiving a client calling message sent by a client terminal, selecting ciphertex family using the key agreement mode of the code mechanism based on user's identity from a ciphertext family list, and then sending to a client, sending a server key exchange message to the client, receiving a client key exchangemessage sent by the client, and obtaining a master key according to information carried in the client key exchange message. The invention further discloses a system used for the key agreement, and a relative client and a server, which can make the process of the key agreement more rapid, safer and more highly-effective.",embodi invent disclos agreement method compris send client call messag server receiv inform return server includ agreement mode code mechan base s ident receiv server exchang messag sent server obtain master key send client exchang messag server embodi invent disclos agreement method compris receiv client call messag sent client termin select ciphertex famili use agreement mode code mechan base s ident famili list send client send server exchang messag client receiv client exchangemessag sent client obtain master key accord inform carri client exchang messag invent disclos system use agreement client server make process agreement safer
CN1146092C,"The present invention relates to a protector for a power source of a semiconductor laser, which is mainly used for protecting the semiconductor laser in a driving power source of a semiconductor laser. A driving current source loop of the semiconductor laser outputs working current through a loop formed by connecting three current-limiting resistors. A relay is connected with the second current-limiting resistor in parallel, and current is output through two normally open contacts of the relay. Two interlocked switches respectively control a starting circuit of the relay and the set of load of the relay, one of the interlocked switches is always switched on, and the other of the interlocked switches is switched off. Therefore, an operating switch and a driving switch of the driving current source loop can be separated. Two poles of the semiconductor laser are short-circuited when the semiconductor laser do not work, and accordingly, the semiconductor laser is in a safe state forever.",invent relat protector power sourc semiconductor laser is use protect semiconductor laser power sourc semiconductor laser a drive sourc loop semiconductor laser work loop form connect limit resistor a relay is connect limit resistor parallel is output contact relay switch control start circuit relay set load relay switch is switch switch is switch oper switch switch drive sourc loop be separ pole semiconductor laser are circuit semiconductor laser do work accordingli semiconductor laser is state forev
JP2000325286A,PROBLEM TO BE SOLVED: To always assure the detergency of tableware by inexpensively maintaining the rotation of a washing nozzle in a stabile state in a tableware washing machine which executes the washing of the tableware. SOLUTION: The washing nozzle 17 is freely rotatably disposed within a washing tank and the rotation center part of the washing nozzle 17 is provided with a shaft part 18 for guiding washing water into the washing nozzle 17. A pivotal supporting part 19 enclosing a shaft part 18 so as to freely turnable support the shaft part is disposed. The outer peripheral surface of the shaft part 18 is provided with at least two rotary guide parts 21 of a rugged shape having the front ends approximate to the inner peripheral surface of the pivotal supporting part 19 in an axial direction.,problem to be solv assur deterg tablewar maintain rotat wash nozzl state tablewar wash machin execut wash tablewar solut wash nozzl is dispos wash tank rotat center part wash nozzl is provid shaft part guid water wash a support part enclos part support shaft part is dispos surfac shaft part is provid guid part shape have front end surfac support part direct
CN100546209C,"The invention provides a kind of multipath searching method and device of novel mobile channel.Multipath searching method of the present invention and device are estimated the time-delay in current footpath according to the power time-delay spectrum of N time slot coherent accumulation and M frame noncoherent accumulation, its channel quality is estimated in the footpath that is assigned with for the last time in the H frame on the other hand, according to its channel quality it is made trade-offs.The two output merges the result who obtains current Multipath searching in some way.The present invention has bigger improvement to the Multipath searching performance, under multipath fading comparison serious situation very high robustness is arranged.Multipath searching method of the present invention can accurately reflect channel quality in the wireless transmission environment, the variation of tracking environmental, the variation of reflection multipath component on position and energy in real time, the detection multipath signal of maximum possible, the accuracy and the validity of assurance Multipath searching.",invent provid kind multipath search method devic novel channel multipath search method invent devic are estim time delay footpath accord power time delay spectrum n time slot accumul m frame accumul channel qualiti is estim footpath is assign time h frame hand accord channel qualiti is made trade output merg result obtain multipath search way invent ha improv multipath search perform multipath fade comparison situat robust is arrang multipath search method invent reflect channel qualiti wireless transmiss environ variat track variat reflect compon posit energi time detect multipath signal maximum accuraci valid assur multipath search
CN1374764A,"The closed-loop RF power control device includes electrically regulated attenuator, power amplifier, logarithm detector, voltage comparator, increment/decrement controller, low-pass filter and D/A converter. The closed-loop RF power control method includes searching out and processing control data corresponding to the power level, and turning on or off the power source with the processed data. The present invention can raise ""RF carrier emitting power time envelop"", ""switch instantaneous spectrum"" and other radio technology performance while obtaining high power controlling precision.",loop rf power control devic includ regul attenu power detector voltag compar decrement control pass filter d a convert loop rf power control method includ search process control data correspond power level turn power sourc process data invent rais rf carrier emit power time spectrum radio technolog perform obtain power control precis
